frame,image_index,agents,agents_smoothed
0,0,87,87.0
1,0,87,87.0
2,0,86,86.66666666666667
3,0,86,86.5
4,0,86,86.4
5,0,85,86.16666666666667
6,0,86,86.14285714285714
7,0,86,86.125
8,0,86,86.11111111111111
9,0,86,86.1
10,0,86,86.0909090909091
11,0,86,86.08333333333333
12,0,85,86.0
13,0,85,85.92857142857143
14,0,85,85.86666666666666
15,0,85,85.8125
16,0,83,85.6470588235294
17,0,83,85.5
18,0,83,85.36842105263158
19,0,85,85.35
20,0,85,85.33333333333333
21,0,86,85.36363636363636
22,0,86,85.3913043478261
23,0,84,85.33333333333333
24,0,84,85.28
25,0,84,85.23076923076923
26,0,84,85.18518518518519
27,0,84,85.14285714285714
28,0,84,85.10344827586206
29,0,85,85.1
30,0,84,85.06451612903226
31,0,84,85.03125
32,0,85,85.03030303030303
33,0,85,85.02941176470588
34,0,84,85.0
35,0,83,84.94444444444444
36,0,85,84.94594594594595
37,0,86,84.97368421052632
38,0,86,85.0
39,0,86,85.025
40,0,84,85.0
41,0,83,84.95238095238095
42,0,84,84.93023255813954
43,0,84,84.9090909090909
44,0,82,84.84444444444445
45,0,82,84.78260869565217
46,0,82,84.72340425531915
47,0,82,84.66666666666667
48,0,81,84.59183673469387
49,0,81,84.52
50,0,83,84.49019607843137
51,0,83,84.46153846153847
52,0,82,84.41509433962264
53,0,82,84.37037037037037
54,0,82,84.32727272727273
55,0,81,84.26785714285714
56,0,82,84.2280701754386
57,0,82,84.1896551724138
58,0,80,84.11864406779661
59,0,79,84.03333333333333
60,0,79,83.95081967213115
61,0,78,83.85483870967742
62,0,78,83.76190476190476
63,0,79,83.6875
64,0,78,83.6
65,0,79,83.53030303030303
66,0,79,83.46268656716418
67,0,80,83.41176470588235
68,0,80,83.3623188405797
69,0,81,83.32857142857142
70,0,81,83.29577464788733
71,0,79,83.23611111111111
72,0,79,83.17808219178082
73,0,80,83.13513513513513
74,0,80,83.09333333333333
75,0,80,83.05263157894737
76,0,81,83.02597402597402
77,0,81,83.0
78,0,81,82.9746835443038
79,0,81,82.95
80,0,81,82.92592592592592
81,0,80,82.89024390243902
82,0,78,82.83132530120481
83,0,78,82.77380952380952
84,0,78,82.71764705882353
85,0,78,82.66279069767442
86,0,79,82.62068965517241
