frame,state,agents,agents_smoothed,state_name
0,0,100,100.0,WANDERING
1,0,99,99.5,WANDERING
2,0,95,98.0,WANDERING
3,0,95,97.25,WANDERING
4,0,93,96.4,WANDERING
5,0,92,95.66666666666667,WANDERING
6,0,91,95.0,WANDERING
7,0,90,94.375,WANDERING
8,0,90,93.88888888888889,WANDERING
9,0,90,93.5,WANDERING
10,0,90,93.18181818181819,WANDERING
11,0,90,92.91666666666667,WANDERING
12,0,90,92.6923076923077,WANDERING
13,0,90,92.5,WANDERING
14,0,90,92.33333333333333,WANDERING
15,0,90,92.1875,WANDERING
16,0,90,92.05882352941177,WANDERING
17,0,90,91.94444444444444,WANDERING
18,0,89,91.78947368421052,WANDERING
19,0,89,91.65,WANDERING
20,0,89,91.52380952380952,WANDERING
21,0,88,91.36363636363636,WANDERING
22,0,88,91.21739130434783,WANDERING
23,0,88,91.08333333333333,WANDERING
24,0,88,90.96,WANDERING
25,0,88,90.84615384615384,WANDERING
26,0,88,90.74074074074075,WANDERING
27,0,87,90.60714285714286,WANDERING
28,0,87,90.48275862068965,WANDERING
29,0,85,90.3,WANDERING
30,0,84,90.09677419354838,WANDERING
31,0,81,89.8125,WANDERING
32,0,81,89.54545454545455,WANDERING
33,0,81,89.29411764705883,WANDERING
34,0,80,89.02857142857142,WANDERING
35,0,80,88.77777777777777,WANDERING
36,0,79,88.51351351351352,WANDERING
37,0,78,88.23684210526316,WANDERING
38,0,78,87.97435897435898,WANDERING
39,0,78,87.725,WANDERING
40,0,78,87.48780487804878,WANDERING
41,0,78,87.26190476190476,WANDERING
42,0,78,87.04651162790698,WANDERING
43,0,78,86.8409090909091,WANDERING
44,0,78,86.64444444444445,WANDERING
45,0,78,86.45652173913044,WANDERING
46,0,77,86.25531914893617,WANDERING
47,0,77,86.0625,WANDERING
48,0,77,85.87755102040816,WANDERING
49,0,76,85.68,WANDERING
50,0,76,85.49019607843137,WANDERING
51,0,76,85.3076923076923,WANDERING
52,0,76,85.13207547169812,WANDERING
53,0,76,84.96296296296296,WANDERING
54,0,76,84.8,WANDERING
55,0,75,84.625,WANDERING
56,0,75,84.45614035087719,WANDERING
57,0,75,84.29310344827586,WANDERING
58,0,75,84.13559322033899,WANDERING
59,0,74,83.96666666666667,WANDERING
60,0,74,83.80327868852459,WANDERING
61,0,74,83.64516129032258,WANDERING
62,0,74,83.4920634920635,WANDERING
63,0,73,83.328125,WANDERING
64,0,73,83.16923076923077,WANDERING
65,0,72,83.0,WANDERING
66,0,72,82.83582089552239,WANDERING
67,0,72,82.67647058823529,WANDERING
68,0,72,82.52173913043478,WANDERING
69,0,72,82.37142857142857,WANDERING
70,0,72,82.22535211267606,WANDERING
71,0,72,82.08333333333333,WANDERING
