frame,image_index,agents,agents_smoothed
0,0,95,95.0
1,0,95,95.0
2,0,95,95.0
3,0,95,95.0
4,0,95,95.0
5,0,95,95.0
6,0,94,94.85714285714286
7,0,94,94.75
8,0,95,94.77777777777777
9,0,94,94.7
10,0,94,94.63636363636364
11,0,94,94.58333333333333
12,0,94,94.53846153846153
13,0,94,94.5
14,0,94,94.46666666666667
15,0,94,94.4375
16,0,94,94.41176470588235
17,0,94,94.38888888888889
18,0,94,94.36842105263158
19,0,94,94.35
20,0,93,94.28571428571429
21,0,93,94.22727272727273
22,0,93,94.17391304347827
23,0,93,94.125
24,0,93,94.08
25,0,93,94.03846153846153
26,0,93,94.0
27,0,93,93.96428571428571
28,0,93,93.93103448275862
29,0,93,93.9
30,0,93,93.87096774193549
31,0,92,93.8125
32,0,92,93.75757575757575
33,0,93,93.73529411764706
34,0,93,93.71428571428571
35,0,93,93.69444444444444
36,0,93,93.67567567567568
37,0,94,93.6842105263158
38,0,94,93.6923076923077
39,0,94,93.7
40,0,94,93.70731707317073
41,0,93,93.69047619047619
42,0,93,93.67441860465117
43,0,94,93.68181818181819
44,0,94,93.68888888888888
45,0,94,93.69565217391305
46,0,94,93.70212765957447
47,0,94,93.70833333333333
48,0,93,93.6938775510204
49,0,93,93.68
50,0,93,93.64
51,0,93,93.6
52,0,93,93.56
53,0,93,93.52
54,0,93,93.48
55,0,93,93.44
56,0,93,93.42
57,0,93,93.4
58,0,93,93.36
59,0,93,93.34
60,0,94,93.34
61,0,94,93.34
62,0,94,93.34
63,0,94,93.34
64,0,94,93.34
65,0,94,93.34
66,0,94,93.34
67,0,93,93.32
68,0,93,93.3
69,0,93,93.28
70,0,93,93.28
71,0,93,93.28
72,0,93,93.28
73,0,93,93.28
74,0,92,93.26
75,0,92,93.24
76,0,92,93.22
77,0,92,93.2
78,0,91,93.16
79,0,91,93.12
80,0,91,93.08
81,0,91,93.06
82,0,92,93.06
83,0,92,93.04
84,0,92,93.02
85,0,92,93.0
86,0,93,93.0
87,0,92,92.96
88,0,92,92.92
89,0,92,92.88
90,0,90,92.8
91,0,90,92.74
92,0,90,92.68
93,0,90,92.6
94,0,90,92.52
95,0,90,92.44
96,0,90,92.36
97,0,90,92.28
98,0,91,92.24
99,0,90,92.18
100,0,90,92.12
101,0,90,92.06
102,0,91,92.02
103,0,91,91.98
104,0,91,91.94
105,0,92,91.92
106,0,92,91.9
107,0,93,91.9
108,0,93,91.9
109,0,93,91.9
110,0,93,91.88
111,0,95,91.9
112,0,94,91.9
113,0,94,91.9
114,0,94,91.9
115,0,93,91.88
116,0,92,91.84
117,0,91,91.8
118,0,91,91.76
119,0,92,91.74
120,0,92,91.72
121,0,92,91.7
122,0,92,91.68
123,0,93,91.68
124,0,93,91.7
125,0,93,91.72
126,0,93,91.74
127,0,93,91.76
128,0,93,91.8
129,0,93,91.84
130,0,93,91.88
131,0,93,91.92
132,0,94,91.96
133,0,96,92.04
134,0,95,92.1
135,0,95,92.16
136,0,95,92.2
137,0,95,92.26
138,0,94,92.3
139,0,93,92.32
140,0,94,92.4
141,0,94,92.48
142,0,94,92.56
143,0,94,92.64
144,0,94,92.72
145,0,95,92.82
146,0,95,92.92
147,0,95,93.02
148,0,94,93.08
149,0,94,93.16
150,0,94,93.24
151,0,95,93.34
152,0,95,93.42
153,0,95,93.5
154,0,95,93.58
155,0,96,93.66
156,0,96,93.74
157,0,97,93.82
158,0,97,93.9
159,0,97,93.98
160,0,96,94.04
161,0,96,94.06
162,0,96,94.1
163,0,96,94.14
164,0,96,94.18
165,0,96,94.24
166,0,96,94.32
167,0,97,94.44
168,0,97,94.56
169,0,95,94.62
170,0,95,94.68
171,0,94,94.72
172,0,94,94.76
173,0,94,94.78
174,0,93,94.78
175,0,93,94.78
176,0,93,94.78
177,0,92,94.76
178,0,92,94.74
179,0,94,94.76
180,0,94,94.78
181,0,94,94.8
182,0,93,94.78
183,0,93,94.72
184,0,93,94.68
185,0,92,94.62
186,0,92,94.56
187,0,92,94.5
188,0,92,94.46
189,0,92,94.44
190,0,92,94.4
191,0,92,94.36
192,0,92,94.32
193,0,91,94.26
194,0,91,94.2
195,0,91,94.12
196,0,91,94.04
197,0,91,93.96
198,0,93,93.94
199,0,93,93.92
200,0,94,93.92
201,0,93,93.88
202,0,93,93.84
203,0,93,93.8
204,0,92,93.74
205,0,92,93.66
206,0,91,93.56
207,0,91,93.44
208,0,90,93.3
209,0,90,93.16
210,0,90,93.04
211,0,90,92.92
212,0,88,92.76
213,0,89,92.62
214,0,89,92.48
215,0,89,92.34
216,0,88,92.18
217,0,87,91.98
218,0,88,91.8
219,0,89,91.68
220,0,88,91.54
221,0,86,91.38
222,0,86,91.22
223,0,86,91.06
224,0,86,90.92
225,0,85,90.76
226,0,87,90.64
227,0,88,90.56
228,0,89,90.5
229,0,90,90.42
230,0,90,90.34
231,0,90,90.26
232,0,91,90.22
233,0,92,90.2
234,0,92,90.18
235,0,91,90.16
236,0,91,90.14
237,0,91,90.12
238,0,91,90.1
239,0,91,90.08
240,0,91,90.06
241,0,91,90.04
242,0,91,90.02
243,0,91,90.02
244,0,91,90.02
245,0,91,90.02
246,0,91,90.02
247,0,91,90.02
248,0,91,89.98
249,0,93,89.98
250,0,92,89.94
251,0,92,89.92
252,0,93,89.92
253,0,92,89.9
254,0,92,89.9
255,0,92,89.9
256,0,92,89.92
257,0,93,89.96
258,0,93,90.02
259,0,93,90.08
260,0,93,90.14
261,0,93,90.2
262,0,93,90.3
263,0,93,90.38
264,0,93,90.46
265,0,93,90.54
266,0,93,90.64
267,0,94,90.78
268,0,95,90.92
269,0,95,91.04
270,0,95,91.18
271,0,95,91.36
272,0,95,91.54
273,0,95,91.72
274,0,95,91.9
275,0,95,92.1
276,0,95,92.26
277,0,95,92.4
278,0,95,92.52
279,0,95,92.62
280,0,95,92.72
281,0,95,92.82
282,0,95,92.9
283,0,95,92.96
284,0,94,93.0
285,0,94,93.06
286,0,94,93.12
287,0,93,93.16
288,0,91,93.16
289,0,91,93.16
290,0,92,93.18
291,0,91,93.18
292,0,91,93.18
293,0,91,93.18
294,0,92,93.2
295,0,92,93.22
296,0,92,93.24
297,0,92,93.26
298,0,92,93.28
299,0,93,93.28
300,0,94,93.32
301,0,94,93.36
302,0,94,93.38
303,0,94,93.42
304,0,94,93.46
305,0,94,93.5
306,0,94,93.54
307,0,94,93.56
308,0,95,93.6
309,0,96,93.66
310,0,96,93.72
311,0,96,93.78
312,0,97,93.86
313,0,97,93.94
314,0,96,94.0
315,0,96,94.06
316,0,96,94.12
317,0,96,94.16
318,0,95,94.16
319,0,95,94.16
320,0,95,94.16
321,0,95,94.16
322,0,95,94.16
323,0,95,94.16
324,0,95,94.16
325,0,94,94.14
326,0,94,94.12
327,0,94,94.1
328,0,94,94.08
329,0,93,94.04
330,0,93,94.0
331,0,93,93.96
332,0,93,93.92
333,0,92,93.86
334,0,92,93.82
335,0,92,93.78
336,0,92,93.74
337,0,91,93.7
338,0,90,93.68
339,0,91,93.68
340,0,90,93.64
341,0,91,93.64
342,0,90,93.62
343,0,90,93.6
344,0,91,93.58
345,0,91,93.56
346,0,91,93.54
347,0,91,93.52
348,0,91,93.5
349,0,91,93.46
350,0,92,93.42
351,0,92,93.38
352,0,92,93.34
353,0,92,93.3
354,0,92,93.26
355,0,93,93.24
356,0,92,93.2
357,0,92,93.16
358,0,92,93.1
359,0,92,93.02
360,0,92,92.94
361,0,93,92.88
362,0,94,92.82
363,0,94,92.76
364,0,94,92.72
365,0,94,92.68
366,0,95,92.66
367,0,95,92.64
368,0,96,92.66
369,0,96,92.68
370,0,96,92.7
371,0,96,92.72
372,0,96,92.74
373,0,95,92.74
374,0,95,92.74
375,0,95,92.76
376,0,95,92.78
377,0,95,92.8
378,0,95,92.82
379,0,95,92.86
380,0,95,92.9
381,0,95,92.94
382,0,96,93.0
383,0,93,93.02
384,0,93,93.04
385,0,93,93.06
386,0,93,93.08
387,0,92,93.1
388,0,92,93.14
389,0,92,93.16
390,0,92,93.2
391,0,91,93.2
392,0,90,93.2
393,0,90,93.2
394,0,90,93.18
395,0,90,93.16
396,0,90,93.14
397,0,91,93.14
398,0,91,93.14
399,0,91,93.14
400,0,91,93.12
401,0,91,93.1
402,0,91,93.08
403,0,92,93.08
404,0,92,93.08
405,0,93,93.08
406,0,93,93.1
407,0,94,93.14
408,0,94,93.18
409,0,94,93.22
410,0,94,93.26
411,0,94,93.28
412,0,94,93.28
413,0,94,93.28
414,0,94,93.28
415,0,94,93.28
416,0,94,93.26
417,0,94,93.24
418,0,94,93.2
419,0,94,93.16
420,0,93,93.1
421,0,93,93.04
422,0,93,92.98
423,0,93,92.94
424,0,93,92.9
425,0,93,92.86
426,0,92,92.8
427,0,93,92.76
428,0,93,92.72
429,0,93,92.68
430,0,93,92.64
431,0,93,92.6
432,0,94,92.56
433,0,94,92.58
434,0,94,92.6
435,0,95,92.64
436,0,95,92.68
437,0,94,92.72
438,0,93,92.74
439,0,94,92.78
440,0,94,92.82
441,0,94,92.88
442,0,93,92.94
443,0,93,93.0
444,0,91,93.02
445,0,91,93.04
446,0,91,93.06
447,0,92,93.08
448,0,92,93.1
449,0,92,93.12
450,0,92,93.14
451,0,92,93.16
452,0,92,93.18
453,0,92,93.18
454,0,92,93.18
455,0,91,93.14
456,0,91,93.1
457,0,91,93.04
458,0,92,93.0
459,0,92,92.96
460,0,92,92.92
461,0,92,92.88
462,0,92,92.84
463,0,92,92.8
464,0,92,92.76
465,0,92,92.72
466,0,92,92.68
467,0,92,92.64
468,0,94,92.64
469,0,93,92.62
470,0,93,92.62
471,0,93,92.62
472,0,91,92.58
473,0,91,92.54
474,0,91,92.5
475,0,91,92.46
476,0,91,92.44
477,0,91,92.4
478,0,91,92.36
479,0,91,92.32
480,0,89,92.24
481,0,89,92.16
482,0,89,92.06
483,0,90,91.98
484,0,89,91.88
485,0,88,91.74
