frame,image_index,agents,agents_smoothed
0,0,91,91.0
1,0,91,91.0
2,0,91,91.0
3,0,91,91.0
4,0,92,91.2
5,0,93,91.5
6,0,93,91.71428571428571
7,0,93,91.875
8,0,93,92.0
9,0,93,92.1
10,0,92,92.2
11,0,92,92.3
12,0,92,92.4
13,0,92,92.5
14,0,91,92.4
15,0,91,92.2
16,0,90,91.9
17,0,91,91.7
18,0,91,91.5
19,0,91,91.3
20,0,90,91.1
21,0,90,90.9
22,0,90,90.7
23,0,90,90.5
24,0,91,90.5
25,0,92,90.6
26,0,92,90.8
27,0,91,90.8
28,0,91,90.8
29,0,91,90.8
30,0,92,91.0
31,0,92,91.2
32,0,92,91.4
33,0,93,91.7
34,0,93,91.9
35,0,94,92.1
36,0,94,92.3
37,0,94,92.6
38,0,94,92.9
39,0,94,93.2
40,0,94,93.4
41,0,94,93.6
42,0,94,93.8
43,0,94,93.9
44,0,94,94.0
45,0,94,94.0
46,0,94,94.0
47,0,94,94.0
48,0,94,94.0
49,0,94,94.0
50,0,94,94.0
51,0,94,94.0
52,0,93,93.9
53,0,93,93.8
54,0,92,93.6
55,0,92,93.4
56,0,92,93.2
57,0,92,93.0
58,0,92,92.8
59,0,92,92.6
60,0,93,92.5
61,0,93,92.4
62,0,93,92.4
63,0,93,92.4
64,0,93,92.5
65,0,93,92.6
66,0,93,92.7
67,0,93,92.8
68,0,93,92.9
69,0,93,93.0
70,0,93,93.0
71,0,93,93.0
72,0,93,93.0
73,0,92,92.9
74,0,92,92.8
75,0,92,92.7
76,0,92,92.6
77,0,92,92.5
78,0,92,92.4
79,0,92,92.3
80,0,92,92.2
81,0,92,92.1
82,0,92,92.0
83,0,93,92.1
84,0,93,92.2
85,0,92,92.2
86,0,92,92.2
87,0,92,92.2
88,0,92,92.2
89,0,92,92.2
90,0,91,92.1
91,0,92,92.1
92,0,92,92.1
93,0,92,92.0
94,0,92,91.9
95,0,92,91.9
96,0,91,91.8
97,0,91,91.7
98,0,91,91.6
99,0,90,91.4
100,0,90,91.3
101,0,90,91.1
102,0,88,90.7
103,0,88,90.3
104,0,88,89.9
105,0,88,89.5
106,0,89,89.3
107,0,89,89.1
108,0,89,88.9
109,0,89,88.8
110,0,89,88.7
111,0,89,88.6
112,0,88,88.6
113,0,88,88.6
114,0,88,88.6
115,0,88,88.6
116,0,87,88.4
117,0,87,88.2
118,0,88,88.1
119,0,88,88.0
120,0,88,87.9
121,0,87,87.7
122,0,87,87.6
123,0,86,87.4
124,0,86,87.2
125,0,86,87.0
126,0,86,86.9
127,0,85,86.7
128,0,86,86.5
129,0,87,86.4
130,0,87,86.3
131,0,87,86.3
132,0,87,86.3
133,0,87,86.4
134,0,87,86.5
135,0,87,86.6
136,0,87,86.7
137,0,87,86.9
138,0,87,87.0
139,0,87,87.0
140,0,87,87.0
141,0,87,87.0
142,0,88,87.1
143,0,88,87.2
144,0,88,87.3
145,0,88,87.4
146,0,87,87.4
147,0,87,87.4
148,0,86,87.3
149,0,86,87.2
150,0,85,87.0
151,0,86,86.9
152,0,87,86.8
153,0,87,86.7
154,0,87,86.6
155,0,87,86.5
156,0,87,86.5
157,0,87,86.5
158,0,88,86.7
159,0,88,86.9
160,0,88,87.2
161,0,88,87.4
162,0,88,87.5
163,0,89,87.7
164,0,90,88.0
165,0,90,88.3
166,0,90,88.6
167,0,89,88.8
168,0,89,88.9
169,0,89,89.0
170,0,88,89.0
171,0,88,89.0
172,0,88,89.0
173,0,88,88.9
174,0,88,88.7
175,0,87,88.4
176,0,87,88.1
177,0,87,87.9
178,0,89,87.9
179,0,89,87.9
180,0,90,88.1
181,0,89,88.2
182,0,89,88.3
183,0,90,88.5
184,0,90,88.7
185,0,89,88.9
186,0,88,89.0
187,0,88,89.1
188,0,87,88.9
189,0,89,88.9
190,0,89,88.8
191,0,89,88.8
192,0,88,88.7
193,0,87,88.4
194,0,86,88.0
195,0,87,87.8
196,0,87,87.7
197,0,87,87.6
198,0,86,87.5
199,0,86,87.2
200,0,86,86.9
201,0,86,86.6
202,0,85,86.3
203,0,86,86.2
204,0,86,86.2
205,0,86,86.1
206,0,86,86.0
207,0,86,85.9
208,0,86,85.9
209,0,87,86.0
210,0,88,86.2
211,0,88,86.4
212,0,88,86.7
213,0,88,86.9
214,0,88,87.1
215,0,88,87.3
216,0,88,87.5
217,0,88,87.7
218,0,88,87.9
219,0,89,88.1
220,0,89,88.2
221,0,89,88.3
222,0,90,88.5
223,0,90,88.7
224,0,90,88.9
225,0,92,89.3
226,0,93,89.8
227,0,94,90.4
228,0,94,91.0
229,0,94,91.5
230,0,95,92.1
231,0,96,92.8
232,0,95,93.3
233,0,95,93.8
234,0,95,94.3
235,0,95,94.6
236,0,95,94.8
237,0,95,94.9
238,0,95,95.0
239,0,95,95.1
240,0,95,95.1
241,0,95,95.0
242,0,95,95.0
243,0,95,95.0
244,0,95,95.0
245,0,96,95.1
246,0,95,95.1
247,0,95,95.1
248,0,95,95.1
249,0,95,95.1
250,0,95,95.1
251,0,94,95.0
252,0,94,94.9
253,0,94,94.8
254,0,94,94.7
255,0,94,94.5
256,0,94,94.4
257,0,94,94.3
258,0,94,94.2
259,0,94,94.1
260,0,95,94.1
261,0,95,94.2
262,0,95,94.3
263,0,95,94.4
264,0,96,94.6
265,0,96,94.8
