frame,image_index,agents,agents_smoothed
0,0,92,92.0
1,0,92,92.0
2,0,92,92.0
3,0,92,92.0
4,0,93,92.2
5,0,93,92.33333333333333
6,0,93,92.42857142857143
7,0,93,92.5
8,0,93,92.55555555555556
9,0,93,92.6
10,0,93,92.7
11,0,93,92.8
12,0,93,92.9
13,0,93,93.0
14,0,92,92.9
15,0,92,92.8
16,0,92,92.7
17,0,92,92.6
18,0,92,92.5
19,0,92,92.4
20,0,92,92.3
21,0,92,92.2
22,0,93,92.2
23,0,93,92.2
24,0,93,92.3
25,0,93,92.4
26,0,93,92.5
27,0,93,92.6
28,0,93,92.7
29,0,93,92.8
30,0,93,92.9
31,0,94,93.1
32,0,94,93.2
33,0,94,93.3
34,0,94,93.4
35,0,94,93.5
36,0,94,93.6
37,0,94,93.7
38,0,95,93.9
39,0,95,94.1
40,0,95,94.3
41,0,94,94.3
42,0,94,94.3
43,0,94,94.3
44,0,94,94.3
45,0,93,94.2
46,0,92,94.0
47,0,92,93.8
48,0,92,93.5
49,0,92,93.2
50,0,92,92.9
51,0,92,92.7
52,0,92,92.5
53,0,92,92.3
54,0,91,92.0
55,0,90,91.7
56,0,90,91.5
57,0,90,91.3
58,0,90,91.1
59,0,90,90.9
60,0,90,90.7
61,0,89,90.4
62,0,89,90.1
63,0,89,89.8
64,0,89,89.6
65,0,89,89.5
66,0,89,89.4
67,0,89,89.3
68,0,88,89.1
69,0,88,88.9
70,0,88,88.7
71,0,89,88.7
72,0,91,88.9
73,0,91,89.1
74,0,90,89.2
75,0,90,89.3
76,0,90,89.4
77,0,91,89.6
78,0,91,89.9
79,0,91,90.2
80,0,91,90.5
81,0,91,90.7
82,0,92,90.8
83,0,91,90.8
84,0,90,90.8
85,0,90,90.8
86,0,90,90.8
87,0,90,90.7
88,0,90,90.6
89,0,91,90.6
90,0,91,90.6
91,0,90,90.5
92,0,91,90.4
93,0,92,90.5
94,0,92,90.7
95,0,92,90.9
96,0,92,91.1
97,0,92,91.3
98,0,92,91.5
99,0,92,91.6
100,0,92,91.7
101,0,92,91.9
102,0,92,92.0
103,0,92,92.0
104,0,93,92.1
105,0,92,92.1
106,0,91,92.0
107,0,91,91.9
108,0,91,91.8
109,0,92,91.8
110,0,92,91.8
111,0,92,91.8
112,0,92,91.8
113,0,92,91.8
114,0,93,91.8
115,0,92,91.8
116,0,92,91.9
117,0,92,92.0
118,0,92,92.1
119,0,92,92.1
120,0,92,92.1
121,0,92,92.1
122,0,92,92.1
123,0,92,92.1
124,0,92,92.0
125,0,92,92.0
126,0,92,92.0
127,0,92,92.0
128,0,92,92.0
129,0,92,92.0
130,0,91,91.9
131,0,90,91.7
132,0,90,91.5
133,0,90,91.3
134,0,90,91.1
135,0,90,90.9
136,0,90,90.7
137,0,90,90.5
138,0,90,90.3
139,0,90,90.1
140,0,89,89.9
141,0,89,89.8
142,0,88,89.6
143,0,88,89.4
144,0,88,89.2
145,0,88,89.0
146,0,88,88.8
147,0,88,88.6
148,0,89,88.5
149,0,89,88.4
150,0,89,88.4
151,0,89,88.4
152,0,89,88.5
153,0,89,88.6
154,0,89,88.7
155,0,89,88.8
156,0,88,88.8
157,0,89,88.9
158,0,90,89.0
159,0,90,89.1
160,0,90,89.2
161,0,90,89.3
162,0,90,89.4
163,0,90,89.5
164,0,91,89.7
165,0,92,90.0
166,0,91,90.3
167,0,91,90.5
168,0,91,90.6
169,0,91,90.7
170,0,91,90.8
171,0,91,90.9
172,0,91,91.0
173,0,90,91.0
174,0,89,90.8
175,0,89,90.5
176,0,89,90.3
177,0,89,90.1
178,0,89,89.9
179,0,89,89.7
180,0,89,89.5
181,0,88,89.2
182,0,89,89.0
183,0,88,88.8
184,0,88,88.7
185,0,88,88.6
186,0,89,88.6
187,0,90,88.7
188,0,90,88.8
189,0,90,88.9
190,0,90,89.0
191,0,92,89.4
192,0,92,89.7
193,0,93,90.2
194,0,93,90.7
195,0,93,91.2
196,0,93,91.6
197,0,93,91.9
198,0,92,92.1
199,0,92,92.3
200,0,93,92.6
201,0,93,92.7
202,0,93,92.8
203,0,92,92.7
204,0,92,92.6
205,0,92,92.5
206,0,90,92.2
207,0,90,91.9
208,0,90,91.7
209,0,90,91.5
210,0,91,91.3
211,0,91,91.1
212,0,91,90.9
213,0,91,90.8
214,0,91,90.7
215,0,91,90.6
216,0,91,90.7
217,0,92,90.9
218,0,93,91.2
219,0,94,91.6
220,0,93,91.8
221,0,93,92.0
222,0,93,92.2
223,0,93,92.4
224,0,93,92.6
225,0,93,92.8
226,0,93,93.0
227,0,93,93.1
228,0,93,93.1
229,0,93,93.0
230,0,93,93.0
231,0,92,92.9
232,0,91,92.7
233,0,91,92.5
234,0,91,92.3
235,0,91,92.1
236,0,92,92.0
237,0,91,91.8
238,0,91,91.6
239,0,91,91.4
240,0,90,91.1
241,0,89,90.8
242,0,89,90.6
243,0,88,90.3
244,0,88,90.0
245,0,86,89.5
246,0,86,88.9
247,0,86,88.4
