frame,image_index,agents,agents_smoothed
0,0,88,88.0
1,0,88,88.0
2,0,88,88.0
3,0,88,88.0
4,0,88,88.0
5,0,88,88.0
6,0,88,88.0
7,0,88,88.0
8,0,88,88.0
9,0,88,88.0
10,0,88,88.0
11,0,88,88.0
12,0,88,88.0
13,0,88,88.0
14,0,88,88.0
15,0,88,88.0
16,0,88,88.0
17,0,88,88.0
18,0,87,87.94736842105263
19,0,87,87.9
20,0,87,87.85714285714286
21,0,87,87.81818181818181
22,0,87,87.78260869565217
23,0,87,87.75
24,0,87,87.72
25,0,87,87.6923076923077
26,0,88,87.70370370370371
27,0,88,87.71428571428571
28,0,88,87.72413793103448
29,0,88,87.73333333333333
30,0,88,87.74193548387096
31,0,87,87.71875
32,0,88,87.72727272727273
33,0,88,87.73529411764706
34,0,88,87.74285714285715
35,0,88,87.75
36,0,88,87.75675675675676
37,0,88,87.76315789473684
38,0,88,87.76923076923077
39,0,88,87.775
40,0,88,87.78048780487805
41,0,88,87.78571428571429
42,0,88,87.79069767441861
43,0,88,87.79545454545455
44,0,88,87.8
45,0,89,87.82608695652173
46,0,89,87.85106382978724
47,0,89,87.875
48,0,89,87.89795918367346
49,0,88,87.9
50,0,88,87.9
51,0,88,87.9
52,0,88,87.9
53,0,88,87.9
54,0,88,87.9
55,0,88,87.9
56,0,88,87.9
57,0,88,87.9
58,0,88,87.9
59,0,88,87.9
60,0,88,87.9
61,0,88,87.9
62,0,88,87.9
63,0,90,87.94
64,0,90,87.98
65,0,90,88.02
66,0,91,88.08
67,0,91,88.14
68,0,91,88.22
69,0,92,88.32
70,0,91,88.4
71,0,91,88.48
72,0,91,88.56
73,0,91,88.64
74,0,91,88.72
75,0,91,88.8
76,0,90,88.84
77,0,89,88.86
78,0,89,88.88
79,0,88,88.88
80,0,88,88.88
81,0,89,88.92
82,0,89,88.94
83,0,89,88.96
84,0,93,89.06
85,0,93,89.16
86,0,93,89.26
87,0,93,89.36
88,0,93,89.46
89,0,93,89.56
90,0,93,89.66
91,0,93,89.76
92,0,93,89.86
93,0,93,89.96
94,0,94,90.08
95,0,94,90.18
96,0,94,90.28
97,0,95,90.4
98,0,95,90.52
99,0,95,90.66
100,0,95,90.8
101,0,95,90.94
102,0,95,91.08
103,0,95,91.22
104,0,95,91.36
105,0,95,91.5
106,0,95,91.64
107,0,96,91.8
108,0,96,91.96
109,0,96,92.12
110,0,95,92.26
111,0,95,92.4
112,0,95,92.54
113,0,95,92.64
114,0,96,92.76
115,0,95,92.86
116,0,93,92.9
117,0,93,92.94
118,0,94,93.0
119,0,95,93.06
120,0,95,93.14
121,0,95,93.22
122,0,95,93.3
123,0,94,93.36
124,0,94,93.42
125,0,94,93.48
126,0,94,93.56
127,0,94,93.66
128,0,95,93.78
129,0,95,93.92
130,0,95,94.06
131,0,95,94.18
132,0,96,94.32
133,0,96,94.46
134,0,96,94.52
135,0,96,94.58
136,0,96,94.64
137,0,96,94.7
138,0,95,94.74
139,0,95,94.78
140,0,95,94.82
141,0,95,94.86
142,0,95,94.9
143,0,95,94.94
144,0,94,94.94
145,0,94,94.94
146,0,94,94.94
147,0,94,94.92
148,0,93,94.88
149,0,93,94.84
150,0,93,94.8
151,0,93,94.76
152,0,93,94.72
153,0,93,94.68
154,0,93,94.64
155,0,94,94.62
156,0,94,94.6
157,0,94,94.56
158,0,94,94.52
159,0,95,94.5
160,0,95,94.5
161,0,93,94.46
162,0,93,94.42
163,0,92,94.36
164,0,91,94.26
165,0,91,94.18
166,0,91,94.14
167,0,91,94.1
168,0,91,94.04
169,0,91,93.96
170,0,92,93.9
171,0,91,93.82
172,0,90,93.72
173,0,90,93.64
174,0,90,93.56
175,0,90,93.48
176,0,89,93.38
177,0,89,93.28
178,0,89,93.16
179,0,89,93.04
180,0,89,92.92
181,0,90,92.82
182,0,89,92.68
183,0,90,92.56
184,0,88,92.4
185,0,88,92.24
186,0,88,92.08
187,0,88,91.92
188,0,88,91.78
189,0,88,91.64
190,0,88,91.5
191,0,88,91.36
192,0,89,91.24
193,0,89,91.12
194,0,89,91.02
195,0,90,90.94
196,0,90,90.86
197,0,90,90.78
198,0,90,90.72
199,0,90,90.66
200,0,90,90.6
201,0,90,90.54
202,0,91,90.5
203,0,91,90.46
204,0,91,90.42
205,0,92,90.38
206,0,92,90.34
207,0,93,90.32
208,0,93,90.3
209,0,93,90.26
210,0,93,90.22
211,0,93,90.22
212,0,93,90.22
213,0,93,90.24
214,0,93,90.28
215,0,93,90.32
216,0,93,90.36
217,0,93,90.4
218,0,93,90.44
219,0,93,90.48
220,0,93,90.5
221,0,93,90.54
222,0,93,90.6
223,0,93,90.66
224,0,92,90.7
225,0,92,90.74
226,0,92,90.8
227,0,92,90.86
228,0,92,90.92
229,0,92,90.98
230,0,92,91.04
231,0,93,91.1
232,0,93,91.18
233,0,92,91.22
234,0,92,91.3
235,0,91,91.36
236,0,90,91.4
237,0,90,91.44
238,0,91,91.5
239,0,91,91.56
240,0,91,91.62
241,0,91,91.68
242,0,91,91.72
243,0,90,91.74
244,0,90,91.76
245,0,90,91.76
246,0,90,91.76
247,0,90,91.76
248,0,90,91.76
249,0,90,91.76
250,0,90,91.76
251,0,89,91.74
252,0,90,91.72
253,0,89,91.68
254,0,88,91.62
255,0,88,91.54
256,0,89,91.48
257,0,88,91.38
258,0,88,91.28
259,0,87,91.16
260,0,87,91.04
261,0,87,90.92
262,0,87,90.8
263,0,87,90.68
264,0,88,90.58
265,0,89,90.5
266,0,89,90.42
267,0,89,90.34
268,0,90,90.28
269,0,89,90.2
270,0,89,90.12
271,0,89,90.04
272,0,89,89.96
273,0,89,89.88
274,0,90,89.84
275,0,89,89.78
276,0,89,89.72
277,0,89,89.66
278,0,88,89.58
279,0,88,89.5
280,0,87,89.4
281,0,87,89.28
282,0,87,89.16
283,0,87,89.06
284,0,86,88.94
285,0,87,88.86
286,0,88,88.82
287,0,86,88.74
288,0,86,88.64
289,0,85,88.52
290,0,86,88.42
291,0,84,88.28
292,0,84,88.14
293,0,83,88.0
294,0,83,87.86
295,0,83,87.72
